card_id,card_label,category_id,category_label,user_id
1,Dog,1,pets,1
2,Tiger,1,pets,1
3,Cat,1,pets,1
4,Apple,2,lunch,1
5,Sandwich,2,lunch,1
6,Banana,3,long food,1
7,Hot Dog,3,long food,1
8,Croissant,4,Moon-shaped,1
9,Mooncake,4,Moon-shaped,1
10,Moon,4,Moon-shaped,1
10,Moon,5,Celestial bodies,2
9,Mooncake,6,Junk food,2
8,Croissant,6,Junk food,2
5,Sandwich,6,Junk food,2
7,Hot Dog,6,Junk food,2
6,Banana,7,Healthy snacks,2
4,Apple,7,Healthy snacks,2
3,Cat,8,animals,2
2,Tiger,8,animals,2
1,Dog,8,animals,2
10,Moon,9,Satellites,3
5,Sandwich,10,Snacks,3
8,Croissant,10,Snacks,3
6,Banana,10,Snacks,3
9,Mooncake,10,Snacks,3
4,Apple,10,Snacks,3
1,Dog,11,Dogs,3
7,Hot Dog,11,Dogs,3
2,Tiger,12,Felines,3
3,Cat,12,Felines,3
9,Mooncake,13,Snacks,4
5,Sandwich,13,Snacks,4
7,Hot Dog,13,Snacks,4
8,Croissant,13,Snacks,4
4,Apple,14,Fruits,4
6,Banana,14,Fruits,4
10,Moon,15,Nature,4
2,Tiger,15,Nature,4
1,Dog,16,Pets,4
3,Cat,16,Pets,4
10,Moon,17,Astronomical Body,5
6,Banana,18,Food,5
8,Croissant,18,Food,5
4,Apple,18,Food,5
5,Sandwich,18,Food,5
7,Hot Dog,18,Food,5
9,Mooncake,18,Food,5
1,Dog,19,Animals,5
2,Tiger,19,Animals,5
3,Cat,19,Animals,5
